time,seconds_elapsed,x,y,z,session_folder,activity
1761380578581069800,0.06206982421875,0.157867431640625,-0.9390716552734376,-0.134857177734375,running1,running
1761380578591126000,0.0721259765625,0.1735076904296875,-0.9478912353515624,-0.134674072265625,running1,running
1761380578601181000,0.082180908203125,0.1884918212890625,-0.959716796875,-0.134765625,running1,running
1761380578611237000,0.092237060546875,0.196533203125,-0.968292236328125,-0.1388397216796875,running1,running
1761380578621293000,0.10229296875,0.199737548828125,-0.97119140625,-0.1641387939453125,running1,running
1761380578631349000,0.112348876953125,0.190582275390625,-0.966827392578125,-0.195892333984375,running1,running
1761380578641404000,0.12240380859375,0.161529541015625,-0.9522552490234376,-0.2238006591796875,running1,running
1761380578651459800,0.1324599609375,0.11602783203125,-0.9272308349609376,-0.2484893798828125,running1,running
1761380578661516000,0.14251611328125,0.067779541015625,-0.9084320068359376,-0.2822418212890625,running1,running
1761380578671572000,0.152572021484375,0.0252838134765625,-0.908416748046875,-0.3130950927734375,running1,running
1761380578681627100,0.162627197265625,-0.005859375,-0.912506103515625,-0.3234710693359375,running1,running
1761380578691683000,0.17268310546875,-0.030792236328125,-0.9115447998046876,-0.3306732177734375,running1,running
1761380578701739000,0.182739013671875,-0.063995361328125,-0.923126220703125,-0.3331146240234375,running1,running
1761380578711794000,0.1927939453125,-0.10174560546875,-0.9461822509765624,-0.3228912353515625,running1,running
1761380578721849900,0.202849853515625,-0.1351776123046875,-0.971527099609375,-0.3170013427734375,running1,running
1761380578731906000,0.212906005859375,-0.1634368896484375,-1.0032196044921875,-0.2869415283203125,running1,running
1761380578741962000,0.2229619140625,-0.2039642333984375,-1.021728515625,-0.2676849365234375,running1,running
1761380578752017000,0.233016845703125,-0.2714996337890625,-1.0545501708984375,-0.2813262939453125,running1,running
1761380578762073000,0.243072998046875,-0.3365631103515625,-1.1029510498046875,-0.3246307373046875,running1,running
1761380578772129000,0.25312890625,-0.3798980712890625,-1.13739013671875,-0.3894195556640625,running1,running
1761380578782185000,0.26318505859375,-0.3864593505859375,-1.1720733642578125,-0.4743804931640625,running1,running
1761380578792239900,0.273239990234375,-0.360687255859375,-1.226715087890625,-0.5482940673828125,running1,running
1761380578802295800,0.2832958984375,-0.3021087646484375,-1.2954254150390625,-0.5823974609375,running1,running
1761380578812352000,0.29335205078125,-0.2630615234375,-1.3754425048828125,-0.6159515380859375,running1,running
1761380578822407000,0.303406982421875,-0.29071044921875,-1.4199981689453125,-0.624298095703125,running1,running
1761380578832463000,0.313463134765625,-0.356842041015625,-1.41827392578125,-0.6640777587890625,running1,running
1761380578842519000,0.32351904296875,-0.4072113037109375,-1.4049835205078125,-0.74725341796875,running1,running
1761380578852575000,0.333574951171875,-0.4210662841796875,-1.352569580078125,-0.828369140625,running1,running
1761380578862630000,0.3436298828125,-0.398956298828125,-1.2602386474609375,-0.9060821533203124,running1,running
1761380578872685800,0.353685791015625,-0.34100341796875,-1.1718292236328125,-0.9065704345703124,running1,running
1761380578882742000,0.363741943359375,-0.24017333984375,-1.1079864501953125,-0.8433990478515625,running1,running
1761380578892798000,0.3737978515625,-0.107147216796875,-1.077239990234375,-0.7178955078125,running1,running
1761380578902853000,0.38385302734375,0.009429931640625,-1.0831451416015625,-0.6097564697265625,running1,running
1761380578912909000,0.393908935546875,0.078948974609375,-1.121826171875,-0.57073974609375,running1,running
1761380578922965000,0.403965087890625,0.113739013671875,-1.1392974853515625,-0.570648193359375,running1,running
1761380578933021200,0.414021240234375,0.1019744873046875,-1.1262664794921875,-0.5002593994140625,running1,running
